CountryName,CountryCode,RegionName,RegionCode,Jurisdiction,Date,C1M_School closing,C1M_Flag,C2M_Workplace closing,C2M_Flag,C3M_Cancel public events,C3M_Flag,C4M_Restrictions on gatherings,C4M_Flag,C5M_Close public transport,C5M_Flag,C6M_Stay at home requirements,C6M_Flag,C7M_Restrictions on internal movement,C7M_Flag,C8EV_International travel controls,E1_Income support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,H6M_Facial Coverings,H6M_Flag,H7_Vaccination policy,H7_Flag,H8M_Protection of elderly people,H8M_Flag,M1_Wildcard,V1_Vaccine Prioritisation (summary),V2A_Vaccine Availability (summary),V2B_Vaccine age eligibility/availability age floor (general population summary),V2C_Vaccine age eligibility/availability age floor (at risk summary),V2D_Medically/ clinically vulnerable (Non-elderly),V2E_Education,V2F_Frontline workers  (non healthcare),V2G_Frontline workers  (healthcare),V3_Vaccine Financial Support (summary),V4_Mandatory Vaccination (summary),ConfirmedCases,ConfirmedDeaths,MajorityVaccinated,PopulationVaccinated,StringencyIndex_Average,StringencyIndex_Average_ForDisplay,GovernmentResponseIndex_Average,GovernmentResponseIndex_Average_ForDisplay,ContainmentHealthIndex_Average,ContainmentHealthIndex_Average_ForDisplay,EconomicSupportIndex,EconomicSupportIndex_ForDisplay
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210101,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,2.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210102,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210103,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210104,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210105,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210106,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210107,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210108,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210109,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210110,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210111,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210112,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210113,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210114,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210115,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210116,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,0.00,,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210117,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,0.00,,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210118,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210119,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210120,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210121,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210122,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,1.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210123,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210124,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210125,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210126,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210127,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210128,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210129,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210130,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210131,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,0,4.00,1.00,1,1.00,,,2.00,1,2.00,2.00,,,2.00,1,0.00,,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210201,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,0.00,0.00,2.00,1,2.00,2.00,0.00,0.00,2.00,0,1.00,1,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210202,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,0.00,0.00,2.00,1,2.00,2.00,0.00,0.00,2.00,0,1.00,1,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
Australia,AUS,Australian Capital Territory,AUS_ACT,STATE_TOTAL,20210203,1.00,1,1.00,1,1.00,1,2.00,1,1.00,1,0.00,,1.00,1,4.00,1.00,1,1.00,0.00,0.00,2.00,1,2.00,2.00,0.00,0.00,2.00,0,1.00,1,2.00,1,,,,,,,,,,,,118,3,NV,0.00,,,,,,,,
